Date,Temperature,Humidity,SensibleTemp
2000-05-01,19.2,55.9,20.0
2000-05-02,19.8,40.3,19.4
2000-05-03,21.9,38.3,21.2
2000-05-04,23.9,31.9,22.4
2000-05-05,21.9,39.2,21.2
2000-05-06,19.3,48.4,19.5
2000-05-07,19.5,39.0,19.0
2000-05-08,23.3,35.6,22.3
2000-05-09,24.8,96.7,28.4
2000-05-10,19.3,33.1,18.4
2000-05-11,14.1,73.5,16.0
2000-05-12,18.2,56.2,19.0
2000-05-13,24.6,33.0,23.2
2000-05-14,24.3,43.6,23.9
2000-05-15,21.6,49.2,21.8
2000-05-16,21.0,55.7,21.7
2000-05-17,22.4,52.6,22.8
2000-05-18,23.6,47.7,23.6
2000-05-19,20.6,56.7,21.4
2000-05-20,21.3,53.4,21.8
2000-05-21,22.6,48.0,22.6
2000-05-22,24.9,52.5,25.3
2000-05-23,24.8,63.4,26.0
2000-05-24,27.0,49.5,27.0
2000-05-25,30.1,39.1,29.1
2000-05-26,27.1,52.2,27.4
2000-05-27,18.6,86.0,21.3
2000-05-28,23.7,45.6,23.5
2000-05-29,26.6,43.5,26.1
2000-05-30,21.3,83.9,24.0
2000-05-31,25.1,48.4,25.1
2000-06-01,26.0,50.1,26.1
2000-06-02,27.7,47.6,27.6
2000-06-03,31.8,39.3,30.7
2000-06-04,32.6,21.9,29.1
2000-06-05,31.2,32.8,29.3
2000-06-06,27.7,41.5,27.0
2000-06-07,25.8,52.4,26.2
2000-06-08,23.1,60.2,24.1
2000-06-09,27.8,37.8,26.7
2000-06-10,25.1,54.0,25.6
2000-06-11,28.4,30.3,26.4
2000-06-12,29.6,25.9,27.0
2000-06-13,29.6,37.4,28.4
2000-06-14,29.5,41.5,28.7
2000-06-15,32.0,37.4,30.6
2000-06-16,29.5,52.6,29.8
2000-06-17,30.2,50.5,30.3
2000-06-18,34.0,37.5,32.6
2000-06-19,33.3,37.5,31.9
2000-06-20,32.2,41.0,31.2
2000-06-21,31.0,48.4,30.9
2000-06-22,27.7,60.2,28.7
2000-06-23,26.3,63.6,27.5
2000-06-24,28.1,55.0,28.6
2000-06-25,28.3,56.1,28.9
2000-06-26,26.5,71.8,28.4
2000-06-27,30.0,51.1,30.1
2000-06-28,33.1,37.4,31.7
2000-06-29,25.7,68.0,27.3
2000-06-30,25.8,91.1,29.1
2000-07-01,30.8,50.8,30.9
2000-07-02,33.4,48.2,33.2
2000-07-03,33.2,50.4,33.2
2000-07-04,33.6,53.3,33.9
2000-07-05,33.9,49.0,33.8
2000-07-06,34.2,49.8,34.2
2000-07-07,33.4,44.3,32.8
2000-07-08,33.0,35.3,31.4
2000-07-09,30.4,56.8,31.0
2000-07-10,34.0,38.1,32.7
2000-07-11,27.6,64.7,29.0
2000-07-12,28.7,67.8,30.3
2000-07-13,31.0,57.0,31.7
2000-07-14,30.5,56.9,31.2
2000-07-15,30.7,59.6,31.6
2000-07-16,28.6,67.2,30.2
2000-07-17,30.5,63.5,31.7
2000-07-18,32.0,59.3,32.9
2000-07-19,28.9,72.3,30.8
2000-07-20,31.8,61.5,32.9
2000-07-21,30.3,68.5,31.9
2000-07-22,25.9,86.3,28.9
2000-07-23,29.5,57.5,30.2
2000-07-24,30.9,52.7,31.2
2000-07-25,29.7,58.5,30.5
2000-07-26,31.5,48.6,31.4
2000-07-27,31.4,57.2,32.1
2000-07-28,31.7,53.3,32.0
2000-07-29,29.7,69.9,31.5
2000-07-30,26.5,84.7,29.3
2000-07-31,30.3,45.4,29.9
2000-08-01,31.2,47.7,31.0
2000-08-02,33.9,44.2,33.3
2000-08-03,32.2,96.8,36.2
2000-08-04,29.4,63.5,30.6
2000-08-05,28.4,82.7,31.2
2000-08-06,25.3,86.9,28.3
2000-08-07,28.2,77.2,30.5
2000-08-08,31.6,59.0,32.5
2000-08-09,31.4,59.8,32.3
2000-08-10,32.2,53.6,32.5
2000-08-11,32.9,53.7,33.3
2000-08-12,33.1,53.8,33.5
2000-08-13,33.2,49.1,33.1
2000-08-14,32.2,54.2,32.6
2000-08-15,32.6,53.0,32.9
2000-08-16,31.8,60.6,32.8
2000-08-17,35.0,47.0,34.6
2000-08-18,34.5,46.4,34.1
2000-08-19,26.7,63.7,28.0
2000-08-20,24.3,81.6,26.9
2000-08-21,26.2,69.0,27.9
2000-08-22,28.8,54.4,29.3
2000-08-23,30.1,46.2,29.8
2000-08-24,25.4,78.6,27.8
2000-08-25,23.3,90.4,26.5
2000-08-26,22.6,96.7,26.2
2000-08-27,26.7,97.3,30.5
2000-08-28,28.2,77.6,30.5
2000-08-29,32.2,58.9,33.1
2000-08-30,33.3,51.9,33.5
2000-08-31,29.8,85.8,32.8
2000-09-01,26.0,78.7,28.4
2000-09-02,30.2,66.3,31.7
2000-09-03,31.0,59.8,31.9
2000-09-04,29.5,47.3,29.3
2000-09-05,28.5,49.0,28.5
2000-09-06,25.2,79.0,27.6
2000-09-07,21.0,83.8,23.7
2000-09-08,23.2,69.4,24.9
2000-09-09,22.8,65.3,24.2
2000-09-10,27.5,43.5,27.0
2000-09-11,25.7,42.5,25.2
2000-09-12,24.2,42.0,23.7
2000-09-13,17.5,86.3,20.3
2000-09-14,17.3,94.9,20.6
2000-09-15,18.2,92.5,21.3
2000-09-16,17.6,89.8,20.6
2000-09-17,23.5,53.9,24.0
2000-09-18,23.6,41.1,23.0
2000-09-19,25.5,43.6,25.1
2000-09-20,27.5,52.6,27.8
2000-09-21,25.7,53.9,26.2
2000-09-22,26.1,52.0,26.4
2000-09-23,25.9,57.0,26.6
2000-09-24,24.3,60.4,25.3
2000-09-25,24.8,45.1,24.6
2000-09-26,25.8,41.3,25.2
2000-09-27,25.6,41.1,25.0
2000-09-28,19.4,61.4,20.5
2000-09-29,26.7,33.8,25.2
2000-09-30,25.3,43.8,24.9
2001-05-01,17.7,58.8,18.7
2001-05-02,20.3,41.5,20.0
2001-05-03,22.0,34.8,21.0
2001-05-04,19.1,48.0,19.3
2001-05-05,23.6,45.0,23.4
2001-05-06,25.3,40.5,24.6
2001-05-07,22.3,45.1,22.2
2001-05-08,27.9,31.3,26.1
2001-05-09,17.8,52.0,18.3
2001-05-10,20.9,34.1,19.9
2001-05-11,21.8,36.8,21.0
2001-05-12,24.4,31.6,22.9
2001-05-13,26.6,29.9,24.7
2001-05-14,27.1,30.3,25.2
2001-05-15,19.0,76.9,21.2
2001-05-16,23.1,31.5,21.7
2001-05-17,27.3,33.7,25.8
2001-05-18,20.1,72.0,21.9
2001-05-19,27.3,36.5,26.1
2001-05-20,28.1,33.6,26.6
2001-05-21,31.5,29.4,29.2
2001-05-22,24.8,45.4,24.6
2001-05-23,29.4,41.5,28.6
2001-05-24,27.7,44.7,27.3
2001-05-25,26.9,38.8,25.9
2001-05-26,25.4,40.5,24.7
2001-05-27,27.0,35.1,25.7
2001-05-28,29.0,33.4,27.3
2001-05-29,30.7,34.7,29.1
2001-05-30,21.5,62.8,22.7
2001-05-31,26.3,35.4,25.0
2001-06-01,22.5,49.4,22.7
2001-06-02,27.0,36.6,25.8
2001-06-03,30.9,33.4,29.1
2001-06-04,30.1,40.5,29.2
2001-06-05,25.3,57.9,26.1
2001-06-06,30.8,35.6,29.3
2001-06-07,32.6,29.8,30.3
2001-06-08,31.3,34.7,29.7
2001-06-09,31.7,39.1,30.5
2001-06-10,32.7,37.1,31.3
2001-06-11,29.6,42.2,28.9
2001-06-12,27.1,40.5,26.3
2001-06-13,22.5,75.5,24.6
2001-06-14,27.4,36.7,26.2
2001-06-15,28.3,33.8,26.8
2001-06-16,24.5,56.4,25.2
2001-06-17,29.3,40.3,28.4
2001-06-18,21.4,90.3,24.5
2001-06-19,26.7,56.3,27.4
2001-06-20,25.3,95.0,28.9
2001-06-21,24.6,65.7,26.0
2001-06-22,25.4,58.0,26.2
2001-06-23,23.5,78.4,25.8
2001-06-24,22.5,74.0,24.5
2001-06-25,28.5,53.3,28.9
2001-06-26,26.6,55.3,27.2
2001-06-27,22.8,87.5,25.7
2001-06-28,26.9,57.8,27.7
2001-06-29,23.0,99.9,26.8
2001-06-30,23.5,75.2,25.6
2001-07-01,29.6,58.9,30.5
2001-07-02,30.9,68.1,32.5
2001-07-03,26.3,80.7,28.9
2001-07-04,30.9,48.0,30.7
2001-07-05,25.3,79.9,27.8
2001-07-06,31.8,51.1,31.9
2001-07-07,31.5,54.9,32.0
